"",""
"Action","Action"
"Add Sort","Add Sort"
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"CSV","CSV"
"Change status","Change status"
"Could not find sort to delete.","Could not find sort to delete."
"Delete Sort","Delete Sort"
"Delete","Delete"
"Disabled","Disabled"
"Edit Sort '%s'","Edit Sort '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"No","No"
"None","None"
"Please select sort to delete.","Please select sort to delete."
"Please select sort.","Please select sort."
"Position","Position"
"Relative to Website Base URL","Relative to Website Base URL"
"Save And Continue Edit","Save And Continue Edit"
"Save Sort","Save Sort"
"Show in rss","Show in rss"
"Sort was successfully deleted.","Sort was successfully deleted."
"Sort was successfully saved","Sort was successfully saved"
"Sort","Sort"
"Status","Status"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"There was a problem saving the sort.","There was a problem saving the sort."
"There was an error deleteing sort.","There was an error deleteing sort."
"There was an error updating sort.","There was an error updating sort."
"This sort no longer exists.","This sort no longer exists."
"Total of %d sort were successfully deleted.","Total of %d sort were successfully deleted."
"Total of %d sort were successfully updated.","Total of %d sort were successfully updated."
"URL key already exists.","URL key already exists."
"URL key","URL key"
"Unable to find sort to save.","Unable to find sort to save."
"XML","XML"
"Yes","Yes"
"color","color"